Ca2+ (nM),rep 1,Ca2+ (nM),rep 2,Ca2+ (nM),rep 3
1,28927,1,39610,1,38824
18,55293,18,72647,18,70839
36,102190,36,129907,36,126523
71,218868,71,264162,71,289048
107,381981,107,442460,107,458542
214,717016,214,848133,214,884762
357,1470780,357,1587464,357,1578996
535,2006786,535,2133467,535,2154085
714,2017671,714,2286579,714,2359579
1071,1999087,1071,2182402,1071,2414921
3212,2136367,3212,2299038,3212,2349247
27835,2319714,27835,2425525,27835,2530225
